"unNo","psn","classOrDivision","subsidiaryHazard","segregation"
"0402","AMMONIUM PERCHLORATE","1.1D","","SGG2 SG27"
"0403","FLARES, AERIAL","1.4G","",""
"0404","FLARES, AERIAL","1.4S","",""
"0405","CARTRIDGES, SIGNAL","1.4S","",""
"0406","DINITROSOBENZENE","1.3C","",""
"0407","TETRAZOL-1-ACETIC ACID","1.4C","",""
"0408","FUZES, DETONATING with protective features","1.1D","",""
"0409","FUZES, DETONATING with protective features","1.2D","",""
"0410","FUZES, DETONATING with protective features","1.4D","",""
"0411","PENTAERYTHRITE TETRANITRATE (PENTAERYTHRITOL TETRANITRATE PETN) with not less than 7% wax, by mass","1.1D","",""
"0412","CARTRIDGES FOR WEAPONS with bursting charge","1.4E","",""
"0413","CARTRIDGES FOR WEAPONS, BLANK","1.2C","",""
"0414","CHARGES, PROPELLING, FOR CANNON","1.2C","",""
"0415","CHARGES, PROPELLING","1.2C","",""
"0417","CARTRIDGES FOR WEAPONS, INERT PROJECTILE or CARTRIDGES, SMALL ARMS","1.3C","",""
"0418","FLARES, SURFACE","1.1G","",""
"0419","FLARES, SURFACE","1.2G","",""
"0420","FLARES, AERIAL","1.1G","",""
"0421","FLARES, AERIAL","1.2G","",""
"0424","PROJECTILES, inert with tracer","1.3G","",""
"0425","PROJECTILES, inert with tracer","1.4G","",""
"0426","PROJECTILES with burster or expelling charge","1.2F","",""
"0427","PROJECTILES with burster or expelling charge","1.4F","",""
"0428","ARTICLES, PYROTECHNIC for technical purposes","1.1G","",""
"0429","ARTICLES, PYROTECHNIC for technical purposes","1.2G","",""
"0430","ARTICLES, PYROTECHNIC for technical purposes","1.3G","",""
"0431","ARTICLES, PYROTECHNIC for technical purposes","1.4G","",""
"0432","ARTICLES, PYROTECHNIC for technical purposes","1.4S","",""
"0433","POWDER CAKE (POWDER PASTE), WETTED with not less than 17% alcohol, by mass","1.1D","",""
"0434","PROJECTILES with burster or expelling charge","1.2G","",""
"0435","PROJECTILES with burster or expelling charge","1.4G","",""
"0436","ROCKETS with expelling charge","1.2C","",""
"0437","ROCKETS with expelling charge","1.3C","",""
"0438","ROCKETS with expelling charge","1.4C","",""
"0439","CHARGES, SHAPED, without detonator","1.2D","",""
"0440","CHARGES, SHAPED, without detonator","1.4D","",""
"0441","CHARGES, SHAPED, without detonator","1.4B","",""
"0442","CHARGES, EXPLOSIVE, COMMERCIAL without detonator","1.1D","",""
"0443","CHARGES, EXPLOSIVE, COMMERCIAL, without detonator","1.2D","",""
"0444","CHARGES, EXPLOSIVE, COMMERCIAL, without detonator","1.4D","",""
"0445","CHARGES, EXPLOSIVE, COMMERCIAL without detonator","1.4S","",""
"0446","CASES, COMBUSTIBLE, EMPTY, WITHOUT PRIMER","1.4C","",""
"0447","CASES, COMBUSTIBLE, EMPTY, WITHOUT PRIMER","1.3C","",""
"0448","5-MERCAPTOTETRAZOL-1-ACETIC ACID","1.4C","",""
"0449","TORPEDOES, LIQUID FUELLED with or without bursting charge","1.1J","","SG67"
"0450","TORPEDOES, LIQUID FUELLED with inert head","1.3J","","SG67"
"0451","TORPEDOES with bursting charge","1.1D","",""
"0452","GRENADES, PRACTICE, hand or rifle","1.4G","",""
"0453","ROCKETS, LINE-THROWING","1.4G","",""
"0454","IGNITERS","1.4S","",""
"0455","DETONATORS, NON-ELECTRIC for blasting","1.4S","",""
"0456","DETONATORS, ELECTRIC for blasting","1.4S","",""
"0457","CHARGES, BURSTING, PLASTICS BONDED","1.1D","",""
"0458","CHARGES, BURSTING, PLASTICS BONDED","1.2D","",""
"0459","CHARGES, BURSTING, PLASTICS BONDED","1.4D","",""
"0460","CHARGES, BURSTING, PLASTICS BONDED","1.4S","",""
"0461","COMPONENTS, EXPLOSIVE TRAIN, N.O.S.","1.1B","",""
"0462","ARTICLES, EXPLOSIVE, N.O.S.","1.1D","",""
"0463","ARTICLES, EXPLOSIVE, N.O.S.","1.1C","",""
"0464","ARTICLES, EXPLOSIVE, N.O.S.","1.1E","",""
"0465","ARTICLES, EXPLOSIVE, N.O.S.","1.1F","",""
"0466","ARTICLES, EXPLOSIVE, N.O.S.","1.2C","",""
"0467","ARTICLES, EXPLOSIVE, N.O.S.","1.2D","",""
"0468","ARTICLES, EXPLOSIVE, N.O.S.","1.2E","",""
"0469","ARTICLES, EXPLOSIVE, N.O.S.","1.2F","",""
"0470","ARTICLES, EXPLOSIVE, N.O.S.","1.3C","",""
"0471","ARTICLES, EXPLOSIVE, N.O.S.","1.4E","",""
"0472","ARTICLES, EXPLOSIVE, N.O.S.","1.4F","",""
"0473","SUBSTANCES, EXPLOSIVE, N.O.S.","1.1A","",""
"0474","SUBSTANCES, EXPLOSIVE, N.O.S.","1.1C","",""
"0475","SUBSTANCES, EXPLOSIVE, N.O.S.","1.1D","",""
"0476","SUBSTANCES, EXPLOSIVE, N.O.S.","1.1G","",""
"0477","SUBSTANCES, EXPLOSIVE, N.O.S.","1.3C","",""
"0478","SUBSTANCES, EXPLOSIVE, N.O.S.","1.3G","",""
"0479","SUBSTANCES, EXPLOSIVE, N.O.S.","1.4C","",""
"0480","SUBSTANCES, EXPLOSIVE, N.O.S.","1.4D","",""
"0481","SUBSTANCES, EXPLOSIVE, N.O.S.","1.4S","",""
"0482","SUBSTANCES, EXPLOSIVE, VERY INSENSITIVE (SUBSTANCES, EVI), N.O.S.","1.5D","",""
"0483","CYCLOTRIMETHYLENE-TRINITRAMINE (CYCLONITE; HEXOGEN; RDX), DESENSITIZED","1.1D","",""
"0484","CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX; OCTOGEN), DESENSITIZED","1.1D","",""
"0485","SUBSTANCES, EXPLOSIVE, N.O.S.","1.4G","",""
"0486","ARTICLES, EXPLOSIVE, EXTREMELY INSENSITIVE (ARTICLES, EEI)","1.6N","",""
"0487","SIGNALS, SMOKE","1.3G","",""
"0488","AMMUNITION, PRACTICE","1.3G","",""
"0489","DINITROGLYCOLURIL (DINGU)","1.1D","",""
"0490","NITROTRIAZOLONE (NTO)","1.1D","",""
"0491","CHARGES, PROPELLING","1.4C","",""
"0492","SIGNALS, RAILWAY TRACK, EXPLOSIVE","1.3G","",""
"0493","SIGNALS, RAILWAY TRACK, EXPLOSIVE","1.4G","",""
"0494","JET PERFORATING GUNS, CHARGED, oil well, without detonator","1.4D","",""
"0495","PROPELLANT, LIQUID","1.3C","",""
"0496","OCTONAL","1.1D","",""
"0497","PROPELLANT, LIQUID","1.1C","",""
"0498","PROPELLANT, SOLID","1.1C","",""
"0499","PROPELLANT, SOLID","1.3C","",""
"0500","DETONATOR ASSEMBLIES, NON-ELECTRIC for blasting","1.4B","",""
"0501","PROPELLANT, SOLID","1.4C","",""
"0502","ROCKETS with inert head","1.2C","",""
"0503","SAFETY DEVICES, PYROTECHNIC","1.4G","",""
"0504","1H-TETRAZOLE","1.1D","",""
"0505","SIGNALS, DISTRESS, ship","1.4G","",""
"0506","SIGNALS, DISTRESS, ship","1.4B","",""
"0507","SIGNALS, SMOKE","1.4B","",""
"0508","1-HYDROXYBENZOTRIAZOLE, ANHYDROUS, dry or wetted with less than 20% water, by mass","1.3C","",""
"0509","POWDER, SMOKELESS","1.4C","",""
"0510","ROCKET MOTORS","1.4C","",""
"0511","DETONATORS, ELECTRONIC programmable for blasting","1.1B","",""
"0512","DETONATORS, ELECTRONIC programmable for blasting","1.4B","",""
"0513","DETONATORS, ELECTRONIC programmable for blasting","1.4B","",""
"0514","FIRE SUPPRESSANT DISPERSING DEVICES","1.4S","",""
"1001","ACETYLENE, DISSOLVED","2.1","","SG46"
"1002","AIR, COMPRESSED","2.2","",""
"1003","AIR, REFRIGERATED LIQUID","2.2","5.1",""
"1005","AMMONIA, ANHYDROUS","2.3",8,"SGG18 SG35 SG46"
"1006","ARGON, COMPRESSED","2.2","",""
"1008","BORON TRIFLUORIDE","2.3","8",""
"1009","BROMOTRIFLUOROMETHANE (REFRIGERANT GAS R 13B1)","2.2","",""
"1010","BUTADIENES, STABILIZED or BUTADIENES AND HYDROCARBON MIXTURE, STABILIZED, containing more than 20% butadienes","2.1","",""
"1011","BUTANE","2.1","",""
"1012","BUTYLENE","2.1","",""
"1013","CARBON DIOXIDE","2.2","",""
"1016","CARBON MONOXIDE, COMPRESSED","2.3","2.1",""
"1017","CHLORINE","2.3","5.1/8","SG6 SG19"
"1018","CHLORODIFLUOROMETHANE (REFRIGERANT GAS R22)","2.2","",""
"1020","CHLOROPENTAFLUORO-ETHANE (REFRIGERANT GAS R 115)","2.2","",""
"1021","1-CHLORO-1,2,2,2-TETRA-FLUOROETHANE (REFRIGERANT GAS R 124)","2.2","",""
"1022","CHLOROTRIFLUOROMETHANE (REFRIGERANT GAS R 13)","2.2","",""
"1023","COAL GAS, COMPRESSED",2.3,2.1,""
"1026","CYANOGEN",2.3,2.1,""
"1027","CYCLOPROPANE","2.1","",""
"1028","DICHLORODIFLUOROMETHANE (REFRIGERANT GAS R 12)","2.2","",""
"1029","DICHLOROFLUOROMETHANE (REFRIGERANT GAS R 21)","2.2","",""
"1030","1,1-DIFLUOROETHANE (REFRIGERANT GAS R 152a)","2.1","",""
"1032","DIMETHYLAMINE, ANHYDROUS","2.1","","SG35"
"1033","DIMETHYL ETHER","2.1","",""
"1035","ETHANE","2.1","",""
"1036","ETHYLAMINE","2.1","","SG35"
"1037","ETHYL CHLORIDE","2.1","",""
"1038","ETHYLENE, REFRIGERATED LIQUID","2.1","",""
"1039","ETHYL METHYL ETHER","2.1","",""
"1040","ETHYLENE OXIDE or ETHYLENE OXIDE WITH NITROGEN up to a total pressure of 1 MPa (10 bar) at 50°C",2.3,2.1,""
"1041","ETHYLENE OXIDE AND CARBON DIOXIDE MIXTURE with more than 9% but not more than 87% ethylene oxide","2.1","",""
"1043","FERTILIZER AMMONIATING SOLUTION with free ammonia","2.2","",""
"1044","FIRE EXTINGUISHERS with compressed or liquefied gas","2.2","",""
"1045","FLUORINE, COMPRESSED","2.3","5.1/8","SG6 SG19"
"3552","SODIUM ION BATTERIES CONTAINED IN EQUIPMENT or SODIUM ION BATTERIES PACKED WITH EQUIPMENT, with organic electrolyte","9","","SG43, SG46"
"3553","DISILANE","2.1","",""
"3554","GALLIUM CONTAINED IN MANUFACTURED ARTICLES","8","",""
"3555","TRIFLUOROMETHYL-TETRAZOLESODIUM SALT IN ACETONE, with not less than 68% acetoneby, mass","3","",""
"3556","VEHICLE, LITHIUM ION BATTERY POWERED","9","",""
"3557","VEHICLE, LITHIUM METAL BATTERY POWERED","9","",""
"3558","VEHICLE, SODIUM ION BATTERY POWERED","9","",""
"3559","FIRE SUPPRESSANT DISPERSING DEVICES","9","",""
"3560","TETRAMETHYLAMMONIUM HYDROXIDE AQUEOUS SOLUTION with not less than 25% tetramethylammonium hydroxide","8","6.1",""
"3491","TOXIC BY INHALATION LIQUID, WATER-REACTIVE, FLAMMABLE, N.O.S.","8.1","4.3, 3","SG5, SG13, SG25, SG26"
"3494","PETROLEUM SOUR CRUDE OIL, FLAMMABLE, TOXIC","3","6.1",""
"3495","IODINE","8","6.1","SG37"
"3496","BATTERIES, NICKEL-METAL HYDRIDE","9","",""
"3497","KRILL MEAL","4.2","","SG65"
"3498","IODINE MONOCHLORIDE, LIQUID","8","","SGG1, SG6, SG16, SG17, SG19"
"3499","CAPACITOR, ELECTRIC DOUBLE LAYER","9","",""
"3500","CHEMICAL UNDER PRESSURE, N.O.S.","2.2","",""
"3501","CHEMICAL UNDER PRESSURE, FLAMMABLE, N.O.S.","2.1","",""
"3502","CHEMICAL UNDER PRESSURE, TOXIC, N.O.S.","2.2","6.1",""
"3503","CHEMICAL UNDER PRESSURE, CORROSIVE, N.O.S.","2.2","8",""
"3504","CHEMICAL UNDER PRESSURE, FLAMMABLE, TOXIC, N.O.S.","2.1","6.1",""
"3505","CHEMICAL UNDER PRESSURE, FLAMMABLE, CORROSIVE, N.O.S.","2.1","",""
"3506","MERCURY CONTAINED IN MANUFACTURED ARTICLES","8","6.1","SG24"
"3507","URANIUM HEXAFLUORIDE, RADIOACTIVE MATERIAL, EXCEPTED PACKAGE","8.1","7/8","SG77"
"3508","CAPACITOR, ASYMMETRIC","9","",""
"3509","PACKAGINGS, DISCARDED, EMPTY, UNCLEANED","9","",""
"3510","ADSORBED GAS, FLAMMABLE, N.O.S.","2.1","",""
"3511","ADSORBED GAS, N.O.S.","2.2","",""
"3512","ADSORBED GAS, TOXIC, N.O.S.","2.3","",""
"3513","ADSORBED GAS, OXIDIZING, N.O.S.","2.2","5.1",""
"3514","ADSORBED GAS, TOXIC, FLAMMABLE, N.O.S.","2.3","2.1",""
"3515","ADSORBED GAS, TOXIC, OXIDIZING, N.O.S.","2.3","5.1",""
"3516","ADSORBED GAS, TOXIC, CORROSIVE, N.O.S.","2.3","8",""
"3517","ADSORBED GAS, TOXIC, FLAMMABLE, CORROSIVE, N.O.S.","2.3","2.1, 8",""
"3518","ADSORBED GAS, TOXIC, OXIDIZING, CORROSIVE, N.O.S.","2.3","5.1, 8",""
"3519","BORON TRIFLUORIDE, ADSORBED","2.3","8",""
"3520","CHLORINE, ADSORBED","2.3","5.1, 8",""
"3521","SILICON TETRAFLUORIDE, ADSORBED","2.3","8",""
"3522","ARSINE, ADSORBED","2.3","2.1",""
"3523","GERMANE, ADSORBED","2.3","2.1",""
"3524","PHOSPHORUS PENTAFLUORIDE, ADSORBED","2.3","8",""
"3525","PHOSPHINE, ADSORBED","2.3","2.1",""
"3526","HYDROGEN SELENIDE, ADSORBED","2.3","2.1",""
"3527","POLYESTER RESIN KIT, solid base material","4.1","",""
"3528","ENGINE, INTERNAL COMBUSTION, FLAMMABLE LIQUID POWERED...","3","",""
"3529","ENGINE, INTERNAL COMBUSTION, FLAMMABLE GAS POWERED...","2.1","",""
"3530","ENGINE, INTERNAL COMBUSTION...","9","",""
"3531","POLYMERIZING SUBSTANCE, SOLID, STABILIZED, N.O.S.","4.1","","SG35, SG36"
"3532","POLYMERIZING SUBSTANCE, LIQUID, STABILIZED, N.O.S.","4.1","","SG35, SG36"
"3533","POLYMERIZING SUBSTANCE, SOLID, TEMPERATURE CONTROLLED, N.O.S.","4.1","","SG35, SG36"
"3534","POLYMERIZING SUBSTANCE, LIQUID, TEMPERATURE CONTROLLED, N.O.S.","4.1","","SG35, SG36"
"3535","TOXIC SOLID, FLAMMABLE, INORGANIC, N.O.S.","6.1","4.1",""
"A3536","LITHIUM BATTERIES INSTALLED IN CARGO TRANSPORT UNIT","9","",""
"3537","ARTICLES CONTAINING FLAMMABLE GAS, N.O.S.","2.1","",""
"3538","ARTICLES CONTAINING NON-FLAMMABLE, NON-TOXIC GAS, N.O.S.","2.2","",""
"3539","ARTICLES CONTAINING TOXIC GAS, N.O.S.","2.3","",""
"3540","ARTICLES CONTAINING FLAMMABLE LIQUID, N.O.S.","3","",""
"3541","ARTICLES CONTAINING FLAMMABLE SOLID, N.O.S.","4.1","",""
"3542","ARTICLES CONTAINING A SUBSTANCE LIABLE TO SPONTANEOUS COMBUSTION, N.O.S.","4.2","",""
"3543","ARTICLES CONTAINING A SUBSTANCE WHICH IN CONTACT WITH WATER EMITS FLAMMABLE GASES, N.O.S.","4.3","",""
"3544","ARTICLES CONTAINING OXIDIZING SUBSTANCE, N.O.S.","5.1","",""
"3545","ARTICLES CONTAINING ORGANIC PEROXIDE, N.O.S.","5.2","",""
"3546","ARTICLES CONTAINING TOXIC SUBSTANCE, N.O.S.","6.1","",""
"3547","ARTICLES CONTAINING CORROSIVE SUBSTANCE, N.O.S.","8","",""
"3548","ARTICLES CONTAINING MISCELLANEOUS DANGEROUS GOODS, N.O.S.","9","",""
"3549","MEDICAL WASTE, CATEGORY A, AFFECTING HUMANS, solid...","6.2","","SG50"
"3550","COBALT DIHYDROXIDE POWDER","6.1","",""
"3551","SODIUM ION BATTERIES","9","",""
"3413","POTASSIUM CYANIDE SOLUTION","6.1","","SGG8 SG35"
"3414","SODIUM CYANIDE SOLUTION","6.1","","SGG8 SG35"
"3415","SODIUM FLUORIDE SOLUTION","6.1","","SG35"
"3416","CHLOROACETOPHENONE, LIQUID","6.1","",""
"3417","XYLYL BROMIDE, SOLID","6.1","",""
"3418","2,4-TOLUYLENEDIAMINE SOLUTION","6.1","",""
"3419","BORON TRIFLUORIDE ACETIC ACID COMPLEX, SOLID","8","","SGG1 SG36 SG49"
"3420","BORON TRIFLUORIDE PROPIONIC ACID COMPLEX, SOLID","8","","SGG1 SG36 SG49"
"3421","POTASSIUM HYDROGEN DIFLUORIDE SOLUTION","8","","SGG1 SG35 SG36 SG49"
"3422","POTASSIUM FLUORIDE SOLUTION","6.1","","SG35"
"3423","TETRAMETHYLAMMONIUM HYDROXIDE SOLID","8","","SGG2 SGG18 SG35"
"3424","AMMONIUM DINITRO-0-CRESOLATE SOLUTION","6.1","","SGG2 SG15 SG16 SG30 SG63"
"3425","BROMOACETIC ACID, SOLID","8","","SGG1 SG36 SG49"
"3426","ACRYLAMIDE SOLUTION","6.1","",""
"3427","CHLOROBENZYL CHLORIDES, SOLID","6.1","",""
"3428","3-CHLORO-4-METHYLPHENYL ISOCYANATE, SOLID","6.1","",""
"3429","CHLOROTOLUIDINES, LIQUID","6.1","",""
"3430","XYLENOLS, LIQUID","6.1","",""
"3431","NITROBENZOTRIFLUORIDES, SOLID","6.1","",""
"3432","POLYCHLORINATED BIPHENYLS, SOLID","9","","SG50"
"3434","NITROCRESOLS, LIQUID","6.1","",""
"3436","HEXAFLUOROACETONE HYDRATE, SOLID","6.1","",""
"3437","CHLOROCRESOLS, SOLID","6.1","",""
"3438","alpha-METHYLBENZYL ALCOHOL, SOLID","6.1","",""
"3439","NITRILES, SOLID, TOXIC, N.O.S.","6.1","","SG35"
"3440","SELENIUM COMPOUND, LIQUID, N.O.S.","6.1","",""
"3441","CHLORODINITROBENZENES, SOLID","6.1","","SG15"
"3442","DICHLOROANILINES, SOLID","6.1","",""
"3443","DINITROBENZENES, SOLID","6.1","","SG15"
"3444","NICOTINE HYDROCHLORIDE, SOLID","6.1","",""
"3445","NICOTINE SULPHATE, SOLID","6.1","",""
"3446","NITROTOLUENES, SOLID","6.1","",""
"3447","NITROXYLENES, SOLID","6.1","",""
"3448","TEAR GAS SUBSTANCE, SOLID, N.O.S.","6.1","",""
"3449","BROMOBENZYL CYANIDES, SOLID","6.1","","SGG8 SG35"
"3450","DIPHENYLCHLOROARSINE, SOLID","6.1","",""
"3451","TOLUIDINES, SOLID","6.1","",""
"3452","XYLIDINES, SOLID","6.1","",""
"3453","PHOSPHORIC ACID, SOLID","8","","SGG1 SG36 SG49"
"3454","DINITROTOLUENES, SOLID","6.1","",""
"3455","CRESOLS, SOLID","6.1","8",""
"3456","NITROSYLSULPHURIC ACID, SOLID","8","","SGG1 SG6 SG16 SG17 SG19 SG36 SG49"
"3457","CHLORONITROTOLUENES, SOLID","6.1","","SG6 SG8 SG10 SG12"
"3458","NITROANISOLES, SOLID","6.1","",""
"3459","NITROBROMOBENZENES, SOLID","6.1","",""
"3460","N-ETHYLBENZYLTOLUIDINES, SOLID","6.1","",""
"3462","TOXINS, EXTRACTED FROM LIVING SOURCES, SOLID, N.O.S.","6.1","",""
"3463","PROPIONIC ACID, with not less than 90% acid by mass","8","3","SGG1 SG36 SG49"
"3464","ORGANOPHOSPHORUS COMPOUND, SOLID, TOXIC, N.O.S.","6.1","",""
"3465","ORGANOARSENIC COMPOUND, SOLID, N.O.S.","6.1","",""
"3466","METAL CARBONYLS, SOLID, N.O.S.","6.1","",""
"3467","ORGANOMETALLIC COMPOUND, SOLID, TOXIC, N.O.S.","6.1","",""
"3468","HYDROGEN IN A METAL HYDRIDE STORAGE SYSTEM...","2.1","",""
"3469","PAINT, FLAMMABLE, CORROSIVE...","3","8",""
"3470","PAINT, CORROSIVE, FLAMMABLE...","8","3",""
"3471","HYDROGENDIFLUORIDES SOLUTION, N.O.S.","8","","SG35"
"3472","CROTONIC ACID, LIQUID","8","","SGG1 SG36 SG49"
"3473","FUEL CELL CARTRIDGES...","3","",""
"3474","1-HYDROXYBENZOTRIAZOLE MONOHYDRATE","4.1","",""
"3475","ETHANOL AND GASOLINE MIXTURE...","3","",""
"3476","FUEL CELL CARTRIDGES, containing water-reactive substances","4.3","","SG26"
"3477","FUEL CELL CARTRIDGES, containing corrosive substances","8","",""
"3478","FUEL CELL CARTRIDGES, containing liquefied flammable gas","2.1","",""
"3479","FUEL CELL CARTRIDGES, containing hydrogen in metal hydride","2.1","",""
"3480","LITHIUM ION BATTERIES","9","",""
"3481","LITHIUM ION BATTERIES, CONTAINED IN EQUIPMENT","9","",""
"3482","ALKALI METAL DISPERSION, FLAMMABLE...","4.3","3","SGG7 SGG8 SG26 SG35"
"3483","MOTOR FUEL ANTI-KNOCK MIXTURE, FLAMMABLE","6.1","3","SGG7 SGG8"
"3484","HYDRAZINE AQUEOUS SOLUTION, FLAMMABLE...","8","3 6.1","SGG18 SG5 SG8 SG35"
"3485","CALCIUM HYPOCHLORITE, DRY, CORROSIVE...","5.1","","SGG8"
"3486","CALCIUM HYPOCHLORITE MIXTURE, DRY, CORROSIVE...","5.1","","SGG8"
"3487","CALCIUM HYPOCHLORITE, HYDRATED, CORROSIVE...","5.1","","SGG8"
"3488","TOXIC BY INHALATION LIQUID, FLAMMABLE, CORROSIVE...","6.1","3 8","SG5 SG8"
"3489","TOXIC BY INHALATION LIQUID, FLAMMABLE, CORROSIVE...","6.1","3 8","SG5 SG8"
"3490","TOXIC BY INHALATION LIQUID, WATER-REACTIVE, FLAMMABLE...","6.1","4.3 3","SG5 SG13 SG25 SG26"
"3406","BARIUM PERCHLORATE SOLUTION","5.1","6.1","SGG13 SG38 SG49 SG62"
"3407","CHLORATE AND MAGNESIUM CHLORIDE MIXTURE SOLUTION","5.1","","SGG4 SG38 SG49 SG62"
"3408","LEAD PERCHLORATE SOLUTION","5.1","6.1","SGG7 SGG13 SG38 SG49 SG62"
"3409","CHLORONITROBENZENES, LIQUID","6.1","","SGG7 SGG9 SGG13 SG38 SG49"
"3410","4-CHLORO-o-TOLUIDINE HYDROCHLORIDE SOLUTION","6.1","",""
"3411","beta-NAPHTHYLAMINE SOLUTION","8","",""
"3412","FORMIC ACID","8","","SGG1 SG36 SG49"
"3413","POTASSIUM CYANIDE SOLUTION","6.1","","SGG6 SG35"
"3318","AMMONIA SOLUTION","2.3","8","SGG18 SG35 SG46"
"3319","NITROGLYCERIN MIXTURE, DESENSITIZED, SOLID, N.O.S.","4.1","",""
"3320","SODIUM BOROHYDRIDE AND SODIUM HYDROXIDE SOLUTION","8","","SGG18 SG35"
"3321","RADIOACTIVE MATERIAL, LOW SPECIFIC ACTIVITY (LSA-II)","7","",""
"3322","RADIOACTIVE MATERIAL, LOW SPECIFIC ACTIVITY (LSA-III)","7","",""
"3323","RADIOACTIVE MATERIAL, TYPE C PACKAGE","7","",""
"3324","RADIOACTIVE MATERIAL, LOW SPECIFIC ACTIVITY (LSA-II), FISSILE","7","",""
"3325","RADIOACTIVE MATERIAL, LOW SPECIFIC ACTIVITY (LSA-III), FISSILE","7","",""
"3326","RADIOACTIVE MATERIAL, SURFACE CONTAMINATED OBJECTS (SCO-I or SCO-II), FISSILE","7","",""
"3327","RADIOACTIVE MATERIAL, TYPE A PACKAGE, FISSILE","7","",""
"3328","RADIOACTIVE MATERIAL, TYPE B(U) PACKAGE, FISSILE","7","",""
"3329","RADIOACTIVE MATERIAL, TYPE B(M) PACKAGE, FISSILE","7","",""
"3330","RADIOACTIVE MATERIAL, TYPE C PACKAGE, FISSILE","7","",""
"3331","RADIOACTIVE MATERIAL, TRANSPORTED UNDER SPECIAL ARRANGEMENT, FISSILE","7","",""
"3332","RADIOACTIVE MATERIAL, TYPE A PACKAGE, SPECIAL FORM","7","",""
"3333","RADIOACTIVE MATERIAL, TYPE A PACKAGE, SPECIAL FORM, FISSILE","7","",""
"3334","AVIATION REGULATED LIQUID, N.O.S.","9","",""
"3335","AVIATION REGULATED SOLID, N.O.S.","9","",""
"3336","MERCAPTANS, LIQUID, FLAMMABLE, N.O.S.","3","","SG50 SG57"
"3337","REFRIGERANT GAS R 404A","2.2","",""
"3338","REFRIGERANT GAS R 407A","2.2","",""
"3339","REFRIGERANT GAS R 407B","2.2","",""
"3340","REFRIGERANT GAS R 407C","2.2","",""
"3341","THIOUREA DIOXIDE","4.2","",""
"3342","XANTHATES","4.2","",""
"3343","NITROGLYCERIN MIXTURE, DESENSITIZED, LIQUID, FLAMMABLE, N.O.S.","3","",""
"3344","PENTAERYTHRITE TETRANITRATE MIXTURE, DESENSITIZED, SOLID, N.O.S.","4.1","",""
"3345","PHENOXYACETIC ACID DERIVATIVE PESTICIDE, SOLID, TOXIC","6.1","",""
"3346","PHENOXYACETIC ACID DERIVATIVE PESTICIDE, LIQUID, FLAMMABLE, TOXIC","3","6.1",""
"3347","PHENOXYACETIC ACID DERIVATIVE PESTICIDE, LIQUID, TOXIC, FLAMMABLE","6.1","3",""
"3348","PHENOXYACETIC ACID DERIVATIVE PESTICIDE, LIQUID, TOXIC","6.1","",""
"3349","PYRETHROID PESTICIDE, SOLID, TOXIC","6.1","",""
"3350","PYRETHROID PESTICIDE, LIQUID, FLAMMABLE, TOXIC","6.1","3",""
"3351","PYRETHROID PESTICIDE, LIQUID, TOXIC, FLAMMABLE","6.1","3",""
"3352","PYRETHROID PESTICIDE, LIQUID, TOXIC","6.1","",""
"3354","INSECTICIDE GAS, FLAMMABLE, N.O.S.","2.1","",""
"3355","INSECTICIDE GAS, TOXIC, FLAMMABLE, N.O.S.","2.1","2.3",""
"3356","OXYGEN GENERATOR, CHEMICAL","5.1","",""
"3357","NITROGLYCERIN MIXTURE, DESENSITIZED, LIQUID, N.O.S.","3","",""
"3358","REFRIGERATING MACHINES","2.1","",""
"3359","FUMIGATED CARGO TRANSPORT UNIT","9","",""
"3360","FIBRES, VEGETABLE, DRY","4.1","",""
"3361","CHLOROSILANES, TOXIC, CORROSIVE, N.O.S.","6.1","8","SGG1 SG36 SG49"
"3362","CHLOROSILANES, TOXIC, CORROSIVE, FLAMMABLE, N.O.S.","6.1","3/8","SGG1 SG5 SG8 SG36 SG49"
"3363","DANGEROUS GOODS IN ARTICLES","9","",""
"3364","TRINITROPHENOL (PICRIC ACID), WETTED","4.1","","SG7 SG30"
"3365","TRINITROCHLOROBENZENE (PICRYL CHLORIDE), WETTED","4.1","","SG7 SG30"
"3366","TRINITROTOLUENE (TNT), WETTED","4.1","","SG7 SG30"
"3367","TRINITROBENZENE, WETTED","4.1","","SG7 SG30"
"3368","TRINITROBENZOIC ACID, WETTED","4.1","","SG7 SG30"
"3369","SODIUM DINITRO-o-CRESOLATE, WETTED","4.1","6.1","SG7 SG30"
"3370","UREA NITRATE, WETTED","4.1","","SG7 SG30"
"3371","2-METHYLBUTANAL","3","",""
"3373","BIOLOGICAL SUBSTANCE, CATEGORY B","6.2","",""
"3374","ACETYLENE, SOLVENT FREE","2.1","","SG46"
"3375","AMMONIUM NITRATE EMULSION","5.1","","SGG2 SG16 SG42 SG45 SG47 SG48 SG51 SG56 SG58 SG59 SG61"
"3376","4-NITROPHENYLHYDRAZINE, WETTED","4.1","","SG7 SG30"
"3377","SODIUM PERBORATE MONOHYDRATE","5.1","","SGG16 SG59"
"3378","SODIUM CARBONATE PEROXYHYDRATE","5.1","","SGG16 SG59"
"3379","DESENSITIZED EXPLOSIVE, LIQUID, N.O.S.","3","","SG30"
"3380","DESENSITIZED EXPLOSIVE, SOLID, N.O.S.","4.1","","SG7 SG30"
"3381","TOXIC BY INHALATION LIQUID, N.O.S.","6.1","",""
"3382","TOXIC BY INHALATION LIQUID, N.O.S.","6.1","",""
